SourceDataset,GroupID,EventLabel,EventCategory,WindowIndex,n_amostras,duracao_evento_s,PeakDynamicAccel_mps2,aceleracao_dinamica_media_mps2,delta_v_kmh,HarshPredicted_6mps2
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,8,122,2.44,8.627206933574005,1.2116394487785496,-10.64304091807078,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,9,189,3.78,6.685281816204055,1.006221981719605,-13.692668727240385,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,10,122,2.44,5.264399861301655,0.615977442883557,-5.410745858289165,0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,11,112,2.24,7.171456590917909,1.2305000646478679,-9.922752521320408,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,12,143,2.86,5.637855575607739,0.7992274884694065,-8.228846221281009,0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,13,102,2.04,6.9924407137184055,0.5790194787763304,-4.252319052133371,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,14,178,3.56,4.441742578042262,1.0034316803207712,12.859980414991004,0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,15,239,4.78,5.543544162450294,0.41967198033464115,7.2217154375985055,0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,16,122,2.44,4.993555345254176,1.13472959920277,9.967464799397131,0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,17,142,2.84,10.380742004300648,0.6213654312449753,6.352840169048628,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,18,163,3.26,6.05583009021924,0.6707048629227714,7.871392271261645,1
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,19,153,3.06,6.727325072690797,0.880329697499903,9.69771194765893,1
