recorte,categoria,n,tp,fn,tn,fp,precision,recall,f1
pooled,todas,1150,170.0,966.0,10.0,4.0,0.9770114942528736,0.14964788732394366,0.2595419847328244
Yuksel_Atmaca_2020_DrivingBehaviorDataset,todas,1102,141.0,961.0,0.0,0.0,1.0,0.1279491833030853,0.2268704746580853
jair_jr_driverBehaviorDataset_2016,todas,48,29.0,5.0,10.0,4.0,0.8787878787878788,0.8529411764705882,0.8656716417910447
pooled,ACCELERATION,255,,,,,,0.023529411764705882,
Yuksel_Atmaca_2020_DrivingBehaviorDataset,ACCELERATION,249,,,,,,0.012048192771084338,
jair_jr_driverBehaviorDataset_2016,ACCELERATION,6,,,,,,0.5,
pooled,BRAKING,227,,,,,,0.04405286343612335,
Yuksel_Atmaca_2020_DrivingBehaviorDataset,BRAKING,221,,,,,,0.027149321266968326,
jair_jr_driverBehaviorDataset_2016,BRAKING,6,,,,,,0.6666666666666666,
pooled,TURN,654,,,,,,0.23547400611620795,
Yuksel_Atmaca_2020_DrivingBehaviorDataset,TURN,632,,,,,,0.2088607594936709,
jair_jr_driverBehaviorDataset_2016,TURN,22,,,,,,1.0,
