numeroApolice,total_veiculos,pct_autonomos,motorista_licenciado,classe_risco,sinistralidade_rc_declarada,sinistralidade_rcfv_declarada,valor_pago_historico,valor_sinistro_historico,qt_cias_anteriores,tipo_sinistro_predominante,lmi_por_veiculo,premio_por_veiculo,qt_coberturas_ativas,agravo_aplicado,desconto_aplicado,referral_pendente,tempo_cotacao_emissao,parcelas_com_juros,apolice_anterior,_perfil_gerador
RCT-2024-000001,0.02054794520547945,0.18481848184818478,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5573111495836621,0.05383884948439044,0.875,0.0,1.0,0.0,0.0898876404494382,0.0,1.0,alta_cobertura
RCT-2024-000002,0.18493150684931506,0.8501650165016501,0.0,0.75,1.0,1.0,0.06866602549299924,0.0748760045198442,0.3333333333333333,1.0,0.13665343937378605,0.36984872486447257,0.0,0.0,0.0,0.0,0.0898876404494382,0.0,0.0,alto_risco
RCT-2025-000003,0.34931506849315064,0.2669600293362669,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5393928378232793,0.32181757891579427,0.875,0.0,1.0,0.0,0.06741573033707865,0.0,0.0,alta_cobertura
RCT-2026-000004,0.18493150684931506,0.36963696369636956,1.0,0.75,0.0,1.0,0.025775192855541296,0.02364476210291312,0.3333333333333333,0.0,0.31184956457007984,0.46266427096039536,0.5,1.0,0.0,1.0,0.9101123595505618,0.0,0.0,referral
RCT-2025-000005,0.02054794520547945,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.38636832294609513,0.26086698859418495,0.875,0.0,1.0,0.0,0.033707865168539325,0.0,1.0,alta_cobertura
RCT-2024-000006,0.26712328767123283,0.18481848184818478,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5638233209757149,0.031066368547805978,0.875,0.0,1.0,0.0,0.0,0.0,1.0,alta_cobertura
RCT-2025-000007,0.3904109589041096,0.03696369636963696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916429968871386,0.13345735936455783,0.75,0.0,1.0,0.0,0.02247191011235955,0.0,1.0,alta_cobertura
RCT-2026-000008,0.06164383561643835,0.18481848184818478,1.0,0.25,0.0,0.0,0.007858684247155929,0.007867204736759007,0.3333333333333333,0.0,0.1322511167701631,0.19788242443410825,0.375,0.0,0.0,1.0,0.9325842696629213,1.0,0.0,referral
RCT-2024-000009,0.26027397260273977,0.8113982129920309,0.0,0.75,0.0,1.0,0.22995563044071626,0.27332166727766444,0.3333333333333333,1.0,0.3110321173046211,0.9890280234072122,0.75,1.0,0.0,0.0,0.0,0.0,0.0,alto_risco
RCT-2025-000010,0.3082191780821918,0.20792079207920788,1.0,0.25,0.0,0.0,0.01152523965056781,0.010521047284737507,0.3333333333333333,1.0,0.6522336159852339,0.32403411704561585,0.875,0.0,0.0,0.0,0.0,0.0,0.0,alta_cobertura
RCT-2026-000011,0.0410958904109589,0.2464246424642464,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.4806525325110441,0.1339899646012,0.25,0.0,0.0,1.0,0.3707865168539326,1.0,0.0,referral
RCT-2025-000012,0.13013698630136986,0.3024302430243024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5284282491162484,0.1815412331799494,0.875,0.0,1.0,0.0,0.0898876404494382,0.0,0.0,alta_cobertura
RCT-2025-000013,0.0821917808219178,0.29570957095709566,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.26479282957023054,0.36572223663720477,0.5,0.0,0.0,1.0,0.6067415730337078,1.0,0.0,referral
RCT-2026-000014,0.3561643835616438,0.2419441944194419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274888980173813,0.2566612759902716,0.75,0.0,1.0,0.0,0.10112359550561797,0.0,0.0,alta_cobertura
RCT-2026-000015,0.8493150684931506,0.9779371637951195,0.0,1.0,1.0,1.0,0.15434737388520173,0.16980832234170376,0.6666666666666666,0.3333333333333333,0.09496003855046697,0.44263739835364074,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,alto_risco
RCT-2025-000016,0.15753424657534246,0.1706016755521706,1.0,0.0,0.0,0.0,0.01274322428534623,0.012470788722480126,0.3333333333333333,1.0,0.4417770544918753,0.17312120373066797,0.75,0.0,1.0,0.0,0.06741573033707865,0.0,0.0,alta_cobertura
RCT-2025-000017,0.02054794520547945,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.8132806330413812,0.2324865608213328,0.875,0.0,0.0,0.0,0.02247191011235955,0.0,1.0,alta_cobertura
RCT-2025-000018,0.10273972602739725,0.18481848184818478,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3245439277458547,0.21384708410966796,0.875,0.0,0.0,0.0,0.10112359550561797,0.0,1.0,alta_cobertura
RCT-2025-000019,0.3835616438356164,0.13156569894277562,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6709588962458087,0.2683257075334858,0.875,0.0,1.0,0.0,0.07865168539325842,0.0,0.0,alta_cobertura
RCT-2026-000020,0.6712328767123288,0.8344279972551709,0.0,1.0,1.0,1.0,0.5724684980851672,0.6075116944921003,1.0,0.3333333333333333,0.3841797890700889,0.5063995402896642,0.375,1.0,0.0,0.0,0.033707865168539325,1.0,0.0,alto_risco
