numeroApolice,total_veiculos,pct_autonomos,motorista_licenciado,classe_risco,sinistralidade_rc_declarada,sinistralidade_rcfv_declarada,valor_pago_historico,valor_sinistro_historico,qt_cias_anteriores,tipo_sinistro_predominante,lmi_por_veiculo,premio_por_veiculo,qt_coberturas_ativas,agravo_aplicado,desconto_aplicado,referral_pendente,tempo_cotacao_emissao,parcelas_com_juros,apolice_anterior,_perfil_gerador,cluster
RCT-2024-000001,0.0205479452054794,0.1848184818481847,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5573111495836621,0.0538388494843904,0.875,0.0,1.0,0.0,0.0898876404494382,0.0,1.0,alta_cobertura,0
RCT-2024-000002,0.184931506849315,0.8501650165016501,0.0,0.75,1.0,1.0,0.0686660254929992,0.0748760045198442,0.3333333333333333,1.0,0.136653439373786,0.3698487248644725,0.0,0.0,0.0,0.0,0.0898876404494382,0.0,0.0,alto_risco,1
RCT-2025-000003,0.3493150684931506,0.2669600293362669,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5393928378232793,0.3218175789157942,0.875,0.0,1.0,0.0,0.0674157303370786,0.0,0.0,alta_cobertura,0
RCT-2026-000004,0.184931506849315,0.3696369636963695,1.0,0.75,0.0,1.0,0.0257751928555412,0.0236447621029131,0.3333333333333333,0.0,0.3118495645700798,0.4626642709603953,0.5,1.0,0.0,1.0,0.9101123595505618,0.0,0.0,referral,2
RCT-2025-000005,0.0205479452054794,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.3863683229460951,0.2608669885941849,0.875,0.0,1.0,0.0,0.0337078651685393,0.0,1.0,alta_cobertura,0
RCT-2024-000006,0.2671232876712328,0.1848184818481847,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5638233209757149,0.0310663685478059,0.875,0.0,1.0,0.0,0.0,0.0,1.0,alta_cobertura,0
RCT-2025-000007,0.3904109589041096,0.0369636963696369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916429968871386,0.1334573593645578,0.75,0.0,1.0,0.0,0.0224719101123595,0.0,1.0,alta_cobertura,0
RCT-2026-000008,0.0616438356164383,0.1848184818481847,1.0,0.25,0.0,0.0,0.0078586842471559,0.007867204736759,0.3333333333333333,0.0,0.1322511167701631,0.1978824244341082,0.375,0.0,0.0,1.0,0.9325842696629212,1.0,0.0,referral,2
RCT-2024-000009,0.2602739726027397,0.8113982129920309,0.0,0.75,0.0,1.0,0.2299556304407162,0.2733216672776644,0.3333333333333333,1.0,0.3110321173046211,0.9890280234072122,0.75,1.0,0.0,0.0,0.0,0.0,0.0,alto_risco,1
RCT-2025-000010,0.3082191780821918,0.2079207920792078,1.0,0.25,0.0,0.0,0.0115252396505678,0.0105210472847375,0.3333333333333333,1.0,0.6522336159852339,0.3240341170456158,0.875,0.0,0.0,0.0,0.0,0.0,0.0,alta_cobertura,0
RCT-2026-000011,0.0410958904109589,0.2464246424642464,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.4806525325110441,0.1339899646012,0.25,0.0,0.0,1.0,0.3707865168539326,1.0,0.0,referral,2
RCT-2025-000012,0.1301369863013698,0.3024302430243024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5284282491162484,0.1815412331799494,0.875,0.0,1.0,0.0,0.0898876404494382,0.0,0.0,alta_cobertura,0
RCT-2025-000013,0.0821917808219178,0.2957095709570956,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2647928295702305,0.3657222366372047,0.5,0.0,0.0,1.0,0.6067415730337078,1.0,0.0,referral,2
RCT-2026-000014,0.3561643835616438,0.2419441944194419,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274888980173813,0.2566612759902716,0.75,0.0,1.0,0.0,0.1011235955056179,0.0,0.0,alta_cobertura,0
RCT-2026-000015,0.8493150684931506,0.9779371637951196,0.0,1.0,1.0,1.0,0.1543473738852017,0.1698083223417037,0.6666666666666666,0.3333333333333333,0.0949600385504669,0.4426373983536407,0.0,0.0,0.0,0.0,0.0337078651685393,0.0,0.0,alto_risco,1
RCT-2025-000016,0.1575342465753424,0.1706016755521706,1.0,0.0,0.0,0.0,0.0127432242853462,0.0124707887224801,0.3333333333333333,1.0,0.4417770544918753,0.1731212037306679,0.75,0.0,1.0,0.0,0.0674157303370786,0.0,0.0,alta_cobertura,0
RCT-2025-000017,0.0205479452054794,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.8132806330413812,0.2324865608213328,0.875,0.0,0.0,0.0,0.0224719101123595,0.0,1.0,alta_cobertura,0
RCT-2025-000018,0.1027397260273972,0.1848184818481847,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3245439277458547,0.2138470841096679,0.875,0.0,0.0,0.0,0.1011235955056179,0.0,1.0,alta_cobertura,0
RCT-2025-000019,0.3835616438356164,0.1315656989427756,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6709588962458087,0.2683257075334858,0.875,0.0,1.0,0.0,0.0786516853932584,0.0,0.0,alta_cobertura,0
RCT-2026-000020,0.6712328767123288,0.8344279972551709,0.0,1.0,1.0,1.0,0.5724684980851672,0.6075116944921003,1.0,0.3333333333333333,0.3841797890700889,0.5063995402896642,0.375,1.0,0.0,0.0,0.0337078651685393,1.0,0.0,alto_risco,1
RCT-2026-000021,0.6164383561643836,0.512722239965932,1.0,1.0,1.0,1.0,0.7174259080175116,0.8338882855896529,1.0,0.6666666666666666,0.2644689515976969,0.6822790174165181,0.5,1.0,0.0,0.0,0.0449438202247191,0.0,0.0,alto_risco,1
RCT-2024-000022,0.726027397260274,0.4883277318557543,0.0,0.75,0.0,1.0,0.4889898603111211,0.5378613040839432,1.0,1.0,0.0758867140346977,0.8533485930434368,0.625,1.0,0.0,0.0,0.0224719101123595,1.0,0.0,alto_risco,1
RCT-2026-000023,0.2260273972602739,0.5852585258525852,0.0,1.0,0.0,1.0,0.6495247559091534,0.6624424472786765,1.0,0.3333333333333333,0.293047276469658,0.5491471361383577,0.375,1.0,0.0,0.0,0.0449438202247191,1.0,1.0,alto_risco,1
RCT-2025-000024,0.6986301369863014,0.7815181518151815,0.0,1.0,1.0,1.0,0.45071624169083,0.4396309629564842,0.6666666666666666,0.3333333333333333,0.3389070933749768,0.6304191092349294,0.25,0.0,0.0,0.0,0.0898876404494382,1.0,1.0,alto_risco,1
RCT-2025-000025,0.0821917808219178,0.5174917491749175,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.4113117576297914,0.3093350270139965,0.375,0.0,0.0,1.0,0.7415730337078651,1.0,0.0,referral,2
RCT-2026-000026,0.2328767123287671,0.2697350816162697,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0980280359484526,0.5337718388064003,0.375,0.0,0.0,1.0,0.9325842696629212,1.0,0.0,referral,2
RCT-2025-000027,0.1780821917808219,0.191191532946398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6040821058159526,0.1355340206556227,1.0,0.0,1.0,0.0,0.0337078651685393,0.0,1.0,alta_cobertura,0
RCT-2026-000028,0.6438356164383562,0.9259977544146166,0.0,1.0,0.0,1.0,0.5140699950385227,0.5115295854427958,0.6666666666666666,0.3333333333333333,0.2880227704945568,0.4697200484837605,0.25,1.0,0.0,0.0,0.0786516853932584,0.0,1.0,alto_risco,1
RCT-2025-000029,0.3561643835616438,0.1411341134113411,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7322381931921099,0.2503921584883667,0.875,0.0,1.0,0.0,0.0561797752808988,0.0,0.0,alta_cobertura,0
RCT-2025-000030,0.1712328767123287,0.2376237623762375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4440511074929217,0.0178589067358075,0.75,0.0,0.0,0.0,0.1011235955056179,0.0,1.0,alta_cobertura,0
RCT-2026-000031,0.0205479452054794,0.3696369636963695,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.4780039594479229,0.1349099614125279,0.125,1.0,0.0,1.0,0.449438202247191,0.0,0.0,referral,2
RCT-2025-000032,0.2054794520547945,0.3024302430243024,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.2259071129851289,0.5316821750553935,0.5,1.0,0.0,1.0,0.797752808988764,1.0,0.0,referral,2
RCT-2026-000033,0.7602739726027398,0.5058190029529268,0.0,0.75,1.0,1.0,0.5562293408848511,0.5429363927607207,0.6666666666666666,0.3333333333333333,0.2846709390262537,0.3200175250381444,0.375,0.0,0.0,0.0,0.0337078651685393,0.0,1.0,alto_risco,1
RCT-2025-000034,0.0958904109589041,0.4566103669190448,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.1430720280642715,0.1708401033219141,0.375,0.0,0.0,1.0,0.3146067415730337,1.0,0.0,referral,2
RCT-2024-000035,0.3287671232876712,0.1087167540283439,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4013175819854012,0.1078439855861689,1.0,0.0,0.0,0.0,0.0,0.0,1.0,alta_cobertura,0
RCT-2025-000036,0.2534246575342466,0.4435643564356435,0.0,1.0,1.0,1.0,0.2955761016430917,0.3314765431507084,0.6666666666666666,0.3333333333333333,0.3724349696929095,0.5526004675082039,0.375,1.0,0.0,0.0,0.0674157303370786,1.0,0.0,alto_risco,1
RCT-2025-000037,0.3493150684931506,0.1232123212321232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475124977738346,0.3483735790603814,0.75,0.0,1.0,0.0,0.0337078651685393,0.0,1.0,alta_cobertura,0
RCT-2026-000038,0.0273972602739726,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.777302220715293,0.0100869837813892,0.75,0.0,0.0,0.0,0.0112359550561797,0.0,1.0,alta_cobertura,0
