numeroApolice,total_veiculos,pct_autonomos,motorista_licenciado,classe_risco,sinistralidade_rc_declarada,sinistralidade_rcfv_declarada,valor_pago_historico,valor_sinistro_historico,qt_cias_anteriores,tipo_sinistro_predominante,lmi_por_veiculo,premio_por_veiculo,qt_coberturas_ativas,agravo_aplicado,desconto_aplicado,referral_pendente,tempo_cotacao_emissao,parcelas_com_juros,apolice_anterior,_perfil_gerador
RCT-2024-000001,6.0,0.16666666666666666,1,3,0,0,0.0,0.0,0,0,51130.72,1107.5566666666666,7,0,1,0,9,0,1,alta_cobertura
RCT-2024-000002,30.0,0.7666666666666667,0,4,1,1,144235.99,177229.66,1,3,23881.767666666667,2239.1659999999997,0,0,0,0,9,0,0,alto_risco
RCT-2025-000003,54.0,0.24074074074074073,1,1,1,1,0.0,0.0,0,0,49970.025185185186,2067.169814814815,7,0,1,0,7,0,0,alta_cobertura
RCT-2026-000004,30.0,0.3333333333333333,1,4,0,1,54141.92,55966.57,1,0,35230.450333333334,2571.532,4,1,0,1,82,0,0,referral
RCT-2025-000005,6.0,0.0,1,3,0,1,0.0,0.0,0,0,40057.55333333334,1848.9099999999999,7,0,1,0,4,0,1,alta_cobertura
RCT-2024-000006,42.0,0.16666666666666666,1,2,0,1,0.0,0.0,0,0,51552.55904761905,1026.01,7,0,1,0,1,0,1,alta_cobertura
RCT-2025-000007,60.0,0.03333333333333333,1,1,0,0,0.0,0.0,0,0,79265.44216666667,1392.665,6,0,1,0,3,0,1,alta_cobertura
RCT-2026-000008,12.0,0.16666666666666666,1,2,0,0,16507.51,18621.48,1,0,23596.59833333333,1623.3666666666668,3,0,0,1,84,1,0,referral
RCT-2024-000009,41.0,0.7317073170731707,0,4,0,1,483031.86,646945.66,1,3,35177.498536585364,4456.403902439024,6,1,0,0,1,0,0,alto_risco
RCT-2025-000010,48.0,0.1875,1,2,0,0,24209.27,24903.06,1,3,57279.514375,2075.1070833333333,7,0,0,0,1,0,0,alta_cobertura
RCT-2026-000011,9.0,0.2222222222222222,0,2,0,1,0.0,0.0,0,0,46165.003333333334,1394.572222222222,2,0,0,1,34,1,0,referral
RCT-2025-000012,22.0,0.2727272727272727,0,1,0,0,0.0,0.0,0,0,49259.77181818182,1564.85,7,0,1,0,9,0,0,alta_cobertura
RCT-2025-000013,15.0,0.26666666666666666,1,3,1,0,0.0,0.0,0,0,32182.255333333334,2224.389333333333,4,0,0,1,55,1,0,referral
RCT-2026-000014,55.0,0.21818181818181817,1,1,0,0,0.0,0.0,0,0,49198.92345454545,1833.8496363636364,6,0,1,0,10,0,0,alta_cobertura
RCT-2026-000015,127.0,0.8818897637795275,0,5,1,1,324213.41,401932.12,2,1,21180.993464566927,2499.817165354331,0,0,0,0,4,0,0,alto_risco
RCT-2025-000016,26.0,0.15384615384615385,1,1,0,0,26767.7,29518.05,1,3,43646.76576923077,1534.6984615384617,6,0,1,0,7,0,0,alta_cobertura
RCT-2025-000017,6.0,0.0,1,2,0,1,0.0,0.0,0,0,67711.66,1747.2816666666668,7,0,0,0,3,0,1,alta_cobertura
RCT-2025-000018,18.0,0.16666666666666666,1,2,0,0,0.0,0.0,0,0,36052.753333333334,1680.535,7,0,0,0,10,0,1,alta_cobertura
RCT-2025-000019,59.0,0.11864406779661017,1,3,0,0,0.0,0.0,0,0,58492.48220338983,1875.6191525423728,7,0,1,0,8,0,0,alta_cobertura
RCT-2026-000020,101.0,0.7524752475247525,0,5,1,1,1202495.12,1437965.23,3,1,39915.78663366337,2728.1449504950497,3,1,0,0,4,1,0,alto_risco
RCT-2026-000021,93.0,0.46236559139784944,1,5,1,1,1506984.5,1973793.05,3,2,32161.27548387097,3357.957096774194,4,1,0,0,5,0,0,alto_risco
RCT-2024-000022,109.0,0.44036697247706424,0,4,0,1,1027144.59,1273104.47,3,3,19945.480366972475,3970.5453211009176,5,1,0,0,3,1,0,alto_risco
RCT-2026-000023,36.0,0.5277777777777778,0,5,0,1,1364355.1600000001,1567984.97,3,1,34012.49416666667,2881.2211111111114,3,1,0,0,5,1,1,alto_risco
