variavel,teste,estatistica,p_valor,significativo_5pct
pct_autonomos,ANOVA,887.5501727935036,1.4161863062370851e-179,True
tempo_cotacao_emissao,ANOVA,727.6576755385701,8.38447538703303e-161,True
qt_cias_anteriores,ANOVA,646.5138097825751,4.0049293382242086e-150,True
valor_sinistro_historico,ANOVA,628.1461758669507,1.4030517831053327e-147,True
classe_risco,ANOVA,613.5047200373084,1.6283732671276964e-145,True
valor_pago_historico,ANOVA,602.766576849094,5.587072698951165e-144,True
qt_coberturas_ativas,ANOVA,492.686136207103,4.312226445187159e-127,True
lmi_por_veiculo,ANOVA,447.47884345913354,1.8281872980132732e-119,True
total_veiculos,ANOVA,417.97207198721986,3.1181940900788977e-114,True
tipo_sinistro_predominante,qui-quadrado,536.3163513617707,1.2571154839987308e-112,True
premio_por_veiculo,ANOVA,391.47205896604135,2.3970671875157027e-109,True
referral_pendente,qui-quadrado,441.62716597684016,1.2643851277708337e-96,True
desconto_aplicado,qui-quadrado,401.8956920174296,5.363636383234451e-88,True
apolice_anterior,qui-quadrado,228.87921961857884,1.9930075717845091e-50,True
sinistralidade_rcfv_declarada,qui-quadrado,213.12485305080114,5.254436909576588e-47,True
parcelas_com_juros,qui-quadrado,212.1375403999391,8.608319942332315e-47,True
agravo_aplicado,qui-quadrado,187.6781620996586,1.7628075958173416e-41,True
motorista_licenciado,qui-quadrado,156.10141375937133,1.2676772413755191e-34,True
sinistralidade_rc_declarada,qui-quadrado,141.6835427902266,1.7132060320902283e-31,True
