fonte,motorista,rotulo_evento,comportamento,magnitude_pico_ms2,evento_detectado
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.208216883703741,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.327133127198449,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.327133127198449,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.3428824221287865,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.3428824221287865,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.344013640499527,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.344013640499527,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.344013640499527,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.344013640499527,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.344013640499527,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.622362948020601,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.36909348857879,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.952268582747156,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.781917996178724,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.781917996178724,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.781917996178724,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.656548891213795,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.747446908688613,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.747446908688613,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,7.3055975219397915,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,7.3055975219397915,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.581315899769406,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.267382496550037,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.267382496550037,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.523867402361251,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.551090515425002,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.765171717302185,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.309663992600496,True
