fonte,motorista,rotulo_evento,n_janelas,n_detectados,magnitude_media_ms2,magnitude_maxima_ms2,taxa_deteccao
Jair Jr. (2016),DRIVER1,Aggressive left turn,5,5,7.4478134632795046,8.083939912677586,1.0
Jair Jr. (2016),DRIVER1,Aggressive right lane change,3,3,6.863555401701334,7.335617749799601,1.0
Jair Jr. (2016),DRIVER1,Aggressive right turn,5,5,7.356175472545274,8.413029812130782,1.0
Jair Jr. (2016),DRIVER1,Non-aggressive event,3,0,1.9153712085016588,2.117130086966547,0.0
Jair Jr. (2016),DRIVER2,Aggressive left turn,6,6,8.13747924544425,11.900342042767532,1.0
Jair Jr. (2016),DRIVER2,Aggressive right turn,6,6,10.234120802938499,11.594204473498499,1.0
Jair Jr. (2016),DRIVER2,Non-aggressive event,5,0,3.262205127690114,4.728633488096985,0.0
Jair Jr. (2016),DRIVER3,Aggressive acceleration,6,1,5.423361187615213,8.191926555705557,0.16666666666666666
Jair Jr. (2016),DRIVER3,Aggressive braking,6,4,6.038180736542082,6.998336884556889,0.6666666666666666
Jair Jr. (2016),DRIVER3,Aggressive left lane change,4,4,12.555615898344927,21.229617533230222,1.0
Jair Jr. (2016),DRIVER3,Non-aggressive event,6,2,4.730767050018427,7.448361241759109,0.3333333333333333
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,249,144,6.00850147324261,7.3055975219397915,0.5783132530120482
Yuksel & Atmaca (2020),desconhecido,Sudden Break,221,177,6.520375178849115,8.366387912598277,0.8009049773755657
Yuksel & Atmaca (2020),desconhecido,Sudden Left Turn,347,232,6.200888542627826,8.690375881884458,0.6685878962536023
Yuksel & Atmaca (2020),desconhecido,Sudden Right Turn,285,266,7.067192092789745,8.671617623196397,0.9333333333333333
