fonte,trajeto,motorista,comportamento,tipo_via,duracao_min,n_amostras,n_eventos,eventos_por_min,magnitude_media_ms2,magnitude_maxima_ms2,velocidade_media_kmh,velocidade_maxima_kmh,var_curso_media_abs
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151110175712-16km-D1-NORMAL1-SECONDARY,D1,normal,Via secundaria,10.4,6170,0,0.0,0.28010344561535183,2.3103976229796164,96.23189102564102,116.8,2.346028846153846
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151110180824-16km-D1-NORMAL2-SECONDARY,D1,normal,Via secundaria,10.9565,6523,0,0.0,0.29456404584705553,2.1220693299745323,92.92153110047846,113.7,2.3219027113237636
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151111123124-25km-D1-NORMAL-MOTORWAY,D1,normal,Rodovia,14.584666666666665,8668,0,0.0,0.2945088049642065,3.6985114493071034,107.27430555555556,131.3,1.8763668981481483
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,D1,agressiva,Rodovia,12.297166666666667,7287,0,0.0,0.2976391576181027,3.6990314618862907,120.15359565807329,148.8,1.7360488466757125
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151111132348-25km-D1-DROWSY-MOTORWAY,D1,sonolenta,Rodovia,15.8195,9411,0,0.0,0.2239115950754999,4.276104242531088,97.1150159744409,113.1,1.740419595314164
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151111134545-16km-D1-AGGRESSIVE-SECONDARY,D1,agressiva,Via secundaria,8.927166666666666,5315,0,0.0,0.3035731389456754,3.044802955701567,112.13223300970874,132.7,2.6807650485436896
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151111135612-13km-D1-DROWSY-SECONDARY,D1,sonolenta,Via secundaria,8.434999999999999,5018,0,0.0,0.24029662538171007,5.613182887711441,96.04960000000001,109.1,2.1973019999999996
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120131714-26km-D2-NORMAL-MOTORWAY,D2,normal,Rodovia,15.549166666666666,9216,0,0.0,0.26297305521292114,2.197827577115122,98.94040728831726,127.7,1.6387181136120044
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120133502-26km-D2-AGGRESSIVE-MOTORWAY,D2,agressiva,Rodovia,14.624166666666667,8684,0,0.0,0.43222368505110925,2.3875517490526703,107.87915690866511,147.5,1.91338056206089
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120135152-25km-D2-DROWSY-MOTORWAY,D2,sonolenta,Rodovia,15.850833333333334,9389,0,0.0,0.34499479676465505,4.355256812463417,98.75706580366774,122.0,1.65884142394822
