comportamento,tipo_via,classe_idx,classe_min,classe_max,n_amostras
agressiva,Rodovia,0,0.0,0.4324387958088997,31365
agressiva,Rodovia,1,0.4324387958088997,0.8648775916177994,12682
agressiva,Rodovia,2,0.8648775916177994,1.297316387426699,2630
agressiva,Rodovia,3,1.297316387426699,1.7297551832355988,699
agressiva,Rodovia,4,1.7297551832355988,2.1621939790444986,242
agressiva,Rodovia,5,2.1621939790444986,2.594632774853398,268
agressiva,Rodovia,6,2.594632774853398,3.027071570662298,587
agressiva,Rodovia,7,3.027071570662298,3.4595103664711977,716
agressiva,Rodovia,8,3.4595103664711977,3.8919491622800972,814
agressiva,Rodovia,9,3.8919491622800972,4.324387958088997,469
agressiva,Rodovia,10,4.324387958088997,4.756826753897897,58
agressiva,Rodovia,11,4.756826753897897,5.189265549706796,15
agressiva,Rodovia,12,5.189265549706796,5.621704345515696,5
agressiva,Rodovia,13,5.621704345515696,6.054143141324596,0
agressiva,Via secundaria,0,0.0,0.4324387958088997,21391
agressiva,Via secundaria,1,0.4324387958088997,0.8648775916177994,6534
agressiva,Via secundaria,2,0.8648775916177994,1.297316387426699,863
agressiva,Via secundaria,3,1.297316387426699,1.7297551832355988,193
agressiva,Via secundaria,4,1.7297551832355988,2.1621939790444986,60
agressiva,Via secundaria,5,2.1621939790444986,2.594632774853398,46
agressiva,Via secundaria,6,2.594632774853398,3.027071570662298,13
agressiva,Via secundaria,7,3.027071570662298,3.4595103664711977,2
agressiva,Via secundaria,8,3.4595103664711977,3.8919491622800972,0
agressiva,Via secundaria,9,3.8919491622800972,4.324387958088997,2
agressiva,Via secundaria,10,4.324387958088997,4.756826753897897,0
agressiva,Via secundaria,11,4.756826753897897,5.189265549706796,6
agressiva,Via secundaria,12,5.189265549706796,5.621704345515696,6
agressiva,Via secundaria,13,5.621704345515696,6.054143141324596,1
normal,Rodovia,0,0.0,0.4324387958088997,47164
normal,Rodovia,1,0.4324387958088997,0.8648775916177994,7466
normal,Rodovia,2,0.8648775916177994,1.297316387426699,911
normal,Rodovia,3,1.297316387426699,1.7297551832355988,226
normal,Rodovia,4,1.7297551832355988,2.1621939790444986,136
normal,Rodovia,5,2.1621939790444986,2.594632774853398,121
normal,Rodovia,6,2.594632774853398,3.027071570662298,94
normal,Rodovia,7,3.027071570662298,3.4595103664711977,53
normal,Rodovia,8,3.4595103664711977,3.8919491622800972,33
normal,Rodovia,9,3.8919491622800972,4.324387958088997,12
normal,Rodovia,10,4.324387958088997,4.756826753897897,0
normal,Rodovia,11,4.756826753897897,5.189265549706796,0
normal,Rodovia,12,5.189265549706796,5.621704345515696,0
normal,Rodovia,13,5.621704345515696,6.054143141324596,0
normal,Via secundaria,0,0.0,0.4324387958088997,67035
normal,Via secundaria,1,0.4324387958088997,0.8648775916177994,7740
normal,Via secundaria,2,0.8648775916177994,1.297316387426699,749
normal,Via secundaria,3,1.297316387426699,1.7297551832355988,91
normal,Via secundaria,4,1.7297551832355988,2.1621939790444986,31
normal,Via secundaria,5,2.1621939790444986,2.594632774853398,4
normal,Via secundaria,6,2.594632774853398,3.027071570662298,0
normal,Via secundaria,7,3.027071570662298,3.4595103664711977,0
normal,Via secundaria,8,3.4595103664711977,3.8919491622800972,0
normal,Via secundaria,9,3.8919491622800972,4.324387958088997,0
normal,Via secundaria,10,4.324387958088997,4.756826753897897,0
normal,Via secundaria,11,4.756826753897897,5.189265549706796,0
normal,Via secundaria,12,5.189265549706796,5.621704345515696,0
normal,Via secundaria,13,5.621704345515696,6.054143141324596,0
sonolenta,Rodovia,0,0.0,0.4324387958088997,45155
sonolenta,Rodovia,1,0.4324387958088997,0.8648775916177994,9037
sonolenta,Rodovia,2,0.8648775916177994,1.297316387426699,1102
sonolenta,Rodovia,3,1.297316387426699,1.7297551832355988,244
sonolenta,Rodovia,4,1.7297551832355988,2.1621939790444986,110
sonolenta,Rodovia,5,2.1621939790444986,2.594632774853398,105
sonolenta,Rodovia,6,2.594632774853398,3.027071570662298,86
sonolenta,Rodovia,7,3.027071570662298,3.4595103664711977,183
sonolenta,Rodovia,8,3.4595103664711977,3.8919491622800972,1235
sonolenta,Rodovia,9,3.8919491622800972,4.324387958088997,1870
sonolenta,Rodovia,10,4.324387958088997,4.756826753897897,1345
sonolenta,Rodovia,11,4.756826753897897,5.189265549706796,118
sonolenta,Rodovia,12,5.189265549706796,5.621704345515696,23
sonolenta,Rodovia,13,5.621704345515696,6.054143141324596,11
sonolenta,Via secundaria,0,0.0,0.4324387958088997,31655
sonolenta,Via secundaria,1,0.4324387958088997,0.8648775916177994,6708
sonolenta,Via secundaria,2,0.8648775916177994,1.297316387426699,645
sonolenta,Via secundaria,3,1.297316387426699,1.7297551832355988,130
sonolenta,Via secundaria,4,1.7297551832355988,2.1621939790444986,36
sonolenta,Via secundaria,5,2.1621939790444986,2.594632774853398,15
sonolenta,Via secundaria,6,2.594632774853398,3.027071570662298,17
sonolenta,Via secundaria,7,3.027071570662298,3.4595103664711977,8
sonolenta,Via secundaria,8,3.4595103664711977,3.8919491622800972,10
sonolenta,Via secundaria,9,3.8919491622800972,4.324387958088997,2
sonolenta,Via secundaria,10,4.324387958088997,4.756826753897897,0
sonolenta,Via secundaria,11,4.756826753897897,5.189265549706796,0
sonolenta,Via secundaria,12,5.189265549706796,5.621704345515696,2
sonolenta,Via secundaria,13,5.621704345515696,6.054143141324596,0
